"Name","Link"
"Ayumu Hogi","https://www.animecharactersdatabase.com/characters.php?id=73068"
"Sumomo Okuhara","https://www.animecharactersdatabase.com/characters.php?id=7792"
"Hokuto","https://www.animecharactersdatabase.com/characters.php?id=59557"
"Maggie","https://www.animecharactersdatabase.com/characters.php?id=120741"
"Fuuko","https://www.animecharactersdatabase.com/characters.php?id=69673"
"Manami","https://www.animecharactersdatabase.com/characters.php?id=8276"
"Akira Machiko","https://www.animecharactersdatabase.com/characters.php?id=71745"
"Arare Fuyugatsu","https://www.animecharactersdatabase.com/characters.php?id=8508"
"Yamashiro","https://www.animecharactersdatabase.com/characters.php?id=70785"
"Risa Hidaka","https://www.animecharactersdatabase.com/characters.php?id=8978"
"Zubeko-chan","https://www.animecharactersdatabase.com/characters.php?id=70497"
"Sakura Origuchi","https://www.animecharactersdatabase.com/characters.php?id=9204"
"Rachel Halfling","https://www.animecharactersdatabase.com/characters.php?id=70686"
"June Frum","https://www.animecharactersdatabase.com/characters.php?id=9331"
"Chiaki Kurokawa","https://www.animecharactersdatabase.com/characters.php?id=119788"
"Queen Mirage","https://www.animecharactersdatabase.com/characters.php?id=71111"
"Junko Kanno","https://www.animecharactersdatabase.com/characters.php?id=38337"
"Kaede Misono","https://www.animecharactersdatabase.com/characters.php?id=71708"
"Ayame Shiina","https://www.animecharactersdatabase.com/characters.php?id=82229"
"Raimei Shimizu","https://www.animecharactersdatabase.com/characters.php?id=10415"
"Rias Gremory","https://www.animecharactersdatabase.com/characters.php?id=36120"
"Marin Kitagawa","https://www.animecharactersdatabase.com/characters.php?id=115747"
"Nobara Kugisaki","https://www.animecharactersdatabase.com/characters.php?id=104843"
"Reina Kurashiki","https://www.animecharactersdatabase.com/characters.php?id=101389"
"Hayase Nagatoro","https://www.animecharactersdatabase.com/characters.php?id=100650"
"Katsuki Bakugo","https://www.animecharactersdatabase.com/characters.php?id=75965"
"Satoru Gojou","https://www.animecharactersdatabase.com/characters.php?id=104844"
"Megumi Fushiguro","https://www.animecharactersdatabase.com/characters.php?id=104839"
"Kusuo Saiki","https://www.animecharactersdatabase.com/characters.php?id=78371"
"Noriaki Kakyoin","https://www.animecharactersdatabase.com/characters.php?id=73601"
"Brocca","https://www.animecharactersdatabase.com/characters.php?id=48540"
"Wakana Amaya","https://www.animecharactersdatabase.com/characters.php?id=11363"
"Akemi Hinazuki","https://www.animecharactersdatabase.com/characters.php?id=76488"
"Sonomi Shouji","https://www.animecharactersdatabase.com/characters.php?id=11574"
"Geru","https://www.animecharactersdatabase.com/characters.php?id=78749"
"Yukari Tokisaka","https://www.animecharactersdatabase.com/characters.php?id=12013"
"Bloom (Mythix)","https://www.animecharactersdatabase.com/characters.php?id=88946"
"Sailor Mercury","https://www.animecharactersdatabase.com/characters.php?id=12371"
"Takako Kakuzawa","https://www.animecharactersdatabase.com/characters.php?id=45652"
"Runa Suruga","https://www.animecharactersdatabase.com/characters.php?id=123071"
"Bluesy Fluesy","https://www.animecharactersdatabase.com/characters.php?id=77236"
"Sayaka Mizusawa","https://www.animecharactersdatabase.com/characters.php?id=79330"
"Yuuna Kashiwagi","https://www.animecharactersdatabase.com/characters.php?id=13542"
"Yuuka Sankrei","https://www.animecharactersdatabase.com/characters.php?id=79305"
"Ringo Konno","https://www.animecharactersdatabase.com/characters.php?id=13668"
"Brazilian Porcupine","https://www.animecharactersdatabase.com/characters.php?id=100631"
"Midori Kinoshita","https://www.animecharactersdatabase.com/characters.php?id=14217"
"Ara (Celestial Fox...","https://www.animecharactersdatabase.com/characters.php?id=79748"
"Droite","https://www.animecharactersdatabase.com/characters.php?id=53578"
"Chiasa Kurihara","https://www.animecharactersdatabase.com/characters.php?id=112907"
